username,tweetcreatedts,text,cleansing,case folding,normalisasi,tokenizing,filtering,stemming,tweet_english,Score,label_class
pattondonsalu_,2023-02-23 04:02:39+00:00,"SEMINAR NASIONAL ”KONTROVERSI PERPANJANGAN MASA JABATAN KEPALA DESA DARI PERSPEKTIF ILMU SOSIAL, POL
 https://t.co/vylOMTDdW2",SEMINAR NASIONAL KONTROVERSI PERPANJANGAN MASA JABATAN KEPALA DESA DARI PERSPEKTIF ILMU SOSIAL POL,seminar nasional kontroversi perpanjangan masa jabatan kepala desa dari perspektif ilmu sosial pol,seminar nasional kontroversi perpanjangan masa jabatan kepala desa dari perspektif ilmu sosial pol,"['seminar', 'nasional', 'kontroversi', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'dari', 'perspektif', 'ilmu', 'sosial', 'pol']","['seminar', 'nasional', 'kontroversi', 'perpanjangan', 'jabatan', 'kepala', 'desa', 'perspektif', 'ilmu', 'sosial', 'pol']","['seminar', 'nasional', 'kontroversi', 'panjang', 'jabat', 'kepala', 'desa', 'perspektif', 'ilmu', 'sosial', 'pol']","['seminar', 'national', 'controversy', 'long', 'position', 'head', 'village', 'perspective', 'science', 'social', 'pol']",0.0,Netral
arini_sftr,2023-02-23 03:51:07+00:00,Membahas tentang isu permintaan perpanjangan masa jabatan kepala desa https://t.co/29H84PvZTH,Membahas tentang isu permintaan perpanjangan masa jabatan kepala desa,membahas tentang isu permintaan perpanjangan masa jabatan kepala desa,membahas tentang isu permintaan perpanjangan masa jabatan kepala desa,"['membahas', 'tentang', 'isu', 'permintaan', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa']","['membahas', 'isu', 'permintaan', 'perpanjangan', 'jabatan', 'kepala', 'desa']","['bahas', 'isu', 'minta', 'panjang', 'jabat', 'kepala', 'desa']","['discuss', 'issue', 'ask', 'long', 'position', 'head', 'village']",0.0,Netral
NewsMotiva,2023-02-22 23:30:17+00:00,"Kalau memang ada wacana tuntutan masa jabatan kepala desa yang telah direvisi dari 6 Tahun menjadi 9 Tahun, dikembalikan  pada kebijakan Kepala Daerah maka sangatlah tepat, sebab secara kultur desa antara Jawa dan luar Jawa memang sangat berbeda termaauk pola pikir masyarakatnya. https://t.co/VPGTAhuRv0",Kalau memang ada wacana tuntutan masa jabatan kepala desa yang telah direvisi dari Tahun menjadi Tahun dikembalikan pada kebijakan Kepala Daerah maka sangatlah tepat sebab secara kultur desa antara Jawa dan luar Jawa memang sangat berbeda termaauk pola pikir masyarakatnya,kalau memang ada wacana tuntutan masa jabatan kepala desa yang telah direvisi dari tahun menjadi tahun dikembalikan pada kebijakan kepala daerah maka sangatlah tepat sebab secara kultur desa antara jawa dan luar jawa memang sangat berbeda termaauk pola pikir masyarakatnya,kalau memang ada wacana tuntutan masa jabatan kepala desa yang telah direvisi dari tahun menjadi tahun dikembalikan pada kebijakan kepala daerah maka sangatlah tepat sebab secara kultur desa antara jawa dan luar jawa memang sangat berbeda termaauk pola pikir masyarakatnya,"['kalau', 'memang', 'ada', 'wacana', 'tuntutan', 'masa', 'jabatan', 'kepala', 'desa', 'yang', 'telah', 'direvisi', 'dari', 'tahun', 'menjadi', 'tahun', 'dikembalikan', 'pada', 'kebijakan', 'kepala', 'daerah', 'maka', 'sangatlah', 'tepat', 'sebab', 'secara', 'kultur', 'desa', 'antara', 'jawa', 'dan', 'luar', 'jawa', 'memang', 'sangat', 'berbeda', 'termaauk', 'pola', 'pikir', 'masyarakatnya']","['wacana', 'tuntutan', 'jabatan', 'kepala', 'desa', 'direvisi', 'dikembalikan', 'kebijakan', 'kepala', 'daerah', 'kultur', 'desa', 'jawa', 'jawa', 'berbeda', 'termaauk', 'pola', 'pikir', 'masyarakatnya']","['wacana', 'tuntut', 'jabat', 'kepala', 'desa', 'revisi', 'kembali', 'bijak', 'kepala', 'daerah', 'kultur', 'desa', 'jawa', 'jawa', 'beda', 'termaauk', 'pola', 'pikir', 'masyarakat']","['discourse', 'demand', 'shake', 'head', 'village', 'revision', 'return', 'wise', 'head', 'regional', 'culture', 'village', ' java', 'java', 'different', 'termauk', 'pattern', 'think', 'society']",0.2263,Positif
JunaediDjunaedi,2023-02-22 08:19:31+00:00,"kekuasaan yang langgeng agar ambisinya menciptakan dinasti jokowi terlindungi.
4.Darurat sipil bisa berjalan dgn diperanjangnya masa jabatan Kepala Desa selama 9 tahun &amp; Penunjukkan langsung Kepala Daerah oleh Mendagri.",kekuasaan yang langgeng agar ambisinya menciptakan dinasti jokowi terlindungi Darurat sipil bisa berjalan dgn diperanjangnya masa jabatan Kepala Desa selama tahun amp Penunjukkan langsung Kepala Daerah oleh Mendagri,kekuasaan yang langgeng agar ambisinya menciptakan dinasti jokowi terlindungi darurat sipil bisa berjalan dgn diperanjangnya masa jabatan kepala desa selama tahun amp penunjukkan langsung kepala daerah oleh mendagri,kekuasaan yang langgeng agar ambisinya menciptakan dinasti jokowi terlindungi darurat sipil bisa berjalan dengan diperanjangnya masa jabatan kepala desa selama tahun amp penunjukkan langsung kepala daerah oleh mendagri,"['kekuasaan', 'yang', 'langgeng', 'agar', 'ambisinya', 'menciptakan', 'dinasti', 'jokowi', 'terlindungi', 'darurat', 'sipil', 'bisa', 'berjalan', 'dengan', 'diperanjangnya', 'masa', 'jabatan', 'kepala', 'desa', 'selama', 'tahun', 'amp', 'penunjukkan', 'langsung', 'kepala', 'daerah', 'oleh', 'mendagri']","['kekuasaan', 'langgeng', 'ambisinya', 'menciptakan', 'dinasti', 'jokowi', 'terlindungi', 'darurat', 'sipil', 'berjalan', 'diperanjangnya', 'jabatan', 'kepala', 'desa', 'amp', 'penunjukkan', 'langsung', 'kepala', 'daerah', 'mendagri']","['kuasa', 'langgeng', 'ambisi', 'cipta', 'dinasti', 'jokowi', 'lindung', 'darurat', 'sipil', 'jalan', 'anjang', 'jabat', 'kepala', 'desa', 'amp', 'tunjuk', 'langsung', 'kepala', 'daerah', 'mendagri']","['power', 'lasting', 'ambition', 'creative', 'dynasty', 'jokowi', 'protect', 'emergency', 'civilian', 'road', 'anjang', ' shook hands', ' head', 'village', 'amp', 'point', 'direct', 'head', 'regional', 'minister of interior']",0.3612,Positif
dimplejoonah,2023-02-22 06:57:52+00:00,"@clooudbrain oh mungkin kkn nya itu menggantikan kepala desa yang udh habis masa jabatan ya, wdyt guys",oh mungkin kkn nya itu menggantikan kepala desa yang udh habis masa jabatan ya wdyt guys,oh mungkin kkn nya itu menggantikan kepala desa yang udh habis masa jabatan ya wdyt guys,oh mungkin kkn nya itu menggantikan kepala desa yang sudah habis masa jabatan ya wdyt guys,"['oh', 'mungkin', 'kkn', 'nya', 'itu', 'menggantikan', 'kepala', 'desa', 'yang', 'sudah', 'habis', 'masa', 'jabatan', 'ya', 'wdyt', 'guys']","['oh', 'kkn', 'nya', 'menggantikan', 'kepala', 'desa', 'habis', 'jabatan', 'ya', 'wdyt', 'guys']","['oh', 'kkn', 'nya', 'ganti', 'kepala', 'desa', 'habis', 'jabat', 'ya', 'wdyt', 'guys']","['oh', 'kkn', 'nya', 'replace', 'head', 'village', 'finished', 'shake', 'yes', 'wdyt', 'guys']",0.25,Positif
andry19633,2023-02-21 09:59:12+00:00,"Mahasiswa BEM-BEM se-Kalsel Bergolak, Bawa Tiga Tuntutan Utama: Tolak KUHP, Tolak Perpanjangaan Masa Jabatan Kepala Desa dan Isu Lainnya https://t.co/XiH81imTxk @RamliRizal https://t.co/rN86hj1yJn",Mahasiswa BEM BEM se Kalsel Bergolak Bawa Tiga Tuntutan Utama Tolak KUHP Tolak Perpanjangaan Masa Jabatan Kepala Desa dan Isu Lainnya,mahasiswa bem bem se kalsel bergolak bawa tiga tuntutan utama tolak kuhp tolak perpanjangaan masa jabatan kepala desa dan isu lainnya,mahasiswa bem bem se kalsel bergolak bawa tiga tuntutan utama tolak kuhp tolak perpanjangaan masa jabatan kepala desa dan isu lainnya,"['mahasiswa', 'bem', 'bem', 'se', 'kalsel', 'bergolak', 'bawa', 'tiga', 'tuntutan', 'utama', 'tolak', 'kuhp', 'tolak', 'perpanjangaan', 'masa', 'jabatan', 'kepala', 'desa', 'dan', 'isu', 'lainnya']","['mahasiswa', 'bem', 'bem', 'kalsel', 'bergolak', 'bawa', 'tuntutan', 'utama', 'tolak', 'kuhp', 'tolak', 'perpanjangaan', 'jabatan', 'kepala', 'desa', 'isu']","['mahasiswa', 'bem', 'bem', 'kalsel', 'golak', 'bawa', 'tuntut', 'utama', 'tolak', 'kuhp', 'tolak', 'perpanjangaan', 'jabat', 'kepala', 'desa', 'isu']","['student', 'bem', 'bem', 'kalsel', 'golak', 'carry', 'demand', 'main', 'reject', 'kuhp', 'reject', 'extension', ' position', 'head', 'village', 'issue']",-0.7096,Negative
redberkalteng,2023-02-21 09:07:48+00:00,8 Kepala Desa di Paju Epat Akan Habis Masa Jabatan https://t.co/yFq8Ec2nMl,Kepala Desa di Paju Epat Akan Habis MasaJabatan,kepala desa di paju epat akan habis masajabatan,kepala desa di paju epat akan habis masajabatan,"['kepala', 'desa', 'di', 'paju', 'epat', 'akan', 'habis', 'masajabatan']","['kepala', 'desa', 'paju', 'epat', 'habis', 'masajabatan']","['kepala', 'desa', 'paju', 'epat', 'habis', 'masajabatan']","['head', 'village', 'paju', 'epat', 'finished', 'tenure']",0.0,Netral
nagadaul,2023-02-21 02:02:48+00:00,@budimandjatmiko Setuju gak Mas Bud perihal permintaan perpanjangan masa jabatan Kepala Desa? 😁,Setuju gak Mas Bud perihal permintaan perpanjangan masa jabatan Kepala Desa,setuju gak mas bud perihal permintaan perpanjangan masa jabatan kepala desa,setuju enggak mas bud perihal permintaan perpanjangan masa jabatan kepala desa,"['setuju', 'enggak', 'mas', 'bud', 'perihal', 'permintaan', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa']","['setuju', 'mas', 'bud', 'perihal', 'permintaan', 'perpanjangan', 'jabatan', 'kepala', 'desa']","['tuju', 'mas', 'bud', 'perihal', 'minta', 'panjang', 'jabat', 'kepala', 'desa']","['go', 'mas', 'bud', 'regarding', 'ask', 'long', 'shape', 'head', 'village']",0.0,Netral
DavidWijaya82,2023-02-20 04:33:53+00:00,"Sebaiknya diusul masa jabatan Kepala Desa itu seumur hidup atau sampai meninggal dunia; biar puas mengabdi tuk warga desa gitu 🤭

Selain Masa Jabatan 9 Tahun, Kepala Desa Indonesia Bersatu Juga Berharap Dana Desa Naik Jadi 5 Persen

Klik untuk baca: https://t.co/QoHe3OOjTD",Sebaiknya diusul masa jabatan Kepala Desa itu seumur hidup atau sampai meninggal dunia biar puas mengabdi tuk warga desa gitu Selain Masa Jabatan Tahun Kepala Desa Indonesia Bersatu Juga Berharap Dana Desa Naik Jadi Persen Klik untuk baca,sebaiknya diusul masa jabatan kepala desa itu seumur hidup atau sampai meninggal dunia biar puas mengabdi tuk warga desa gitu selain masa jabatan tahun kepala desa indonesia bersatu juga berharap dana desa naik jadi persen klik untuk baca,sebaiknya diusul masa jabatan kepala desa itu seumur hidup atau sampai meninggal dunia biar puas mengabdi untuk warga desa begitu selain masa jabatan tahun kepala desa indonesia bersatu juga berharap dana desa naik jadi persen klik untuk baca,"['sebaiknya', 'diusul', 'masa', 'jabatan', 'kepala', 'desa', 'itu', 'seumur', 'hidup', 'atau', 'sampai', 'meninggal', 'dunia', 'biar', 'puas', 'mengabdi', 'untuk', 'warga', 'desa', 'begitu', 'selain', 'masa', 'jabatan', 'tahun', 'kepala', 'desa', 'indonesia', 'bersatu', 'juga', 'berharap', 'dana', 'desa', 'naik', 'jadi', 'persen', 'klik', 'untuk', 'baca']","['diusul', 'jabatan', 'kepala', 'desa', 'seumur', 'hidup', 'meninggal', 'dunia', 'biar', 'puas', 'mengabdi', 'warga', 'desa', 'jabatan', 'kepala', 'desa', 'indonesia', 'bersatu', 'berharap', 'dana', 'desa', 'persen', 'klik', 'baca']","['usul', 'jabat', 'kepala', 'desa', 'umur', 'hidup', 'tinggal', 'dunia', 'biar', 'puas', 'abdi', 'warga', 'desa', 'jabat', 'kepala', 'desa', 'indonesia', 'satu', 'harap', 'dana', 'desa', 'persen', 'klik', 'baca']","['suggestion', 'position', 'head', 'village', 'age', 'life', 'stay', 'world', 'biar', 'satisfied', 'servants', 'citizens', ' village', 'position', 'head', 'village', 'Indonesia', 'one', 'harap', 'fund', 'village', 'percent', 'click', 'read']",0.4215,Positif
kompascom,2023-02-20 04:18:29+00:00,"Selain Masa Jabatan 9 Tahun, Kepala Desa Indonesia Bersatu Juga Berharap Dana Desa Naik Jadi 5 Persen

Baca di https://t.co/WWr9bvZwPq https://t.co/HkBgYnhGV3",Selain Masa Jabatan Tahun Kepala Desa Indonesia Bersatu Juga Berharap Dana Desa Naik Jadi Persen Baca di,selain masa jabatan tahun kepala desa indonesia bersatu juga berharap dana desa naik jadi persen baca di,selain masa jabatan tahun kepala desa indonesia bersatu juga berharap dana desa naik jadi persen baca di,"['selain', 'masa', 'jabatan', 'tahun', 'kepala', 'desa', 'indonesia', 'bersatu', 'juga', 'berharap', 'dana', 'desa', 'naik', 'jadi', 'persen', 'baca', 'di']","['jabatan', 'kepala', 'desa', 'indonesia', 'bersatu', 'berharap', 'dana', 'desa', 'persen', 'baca']","['jabat', 'kepala', 'desa', 'indonesia', 'satu', 'harap', 'dana', 'desa', 'persen', 'baca']","['position', 'head', 'village', 'Indonesia', 'one', 'harap', 'fund', 'village', 'percent', 'read']",0.0,Netral
medcom_id,2023-02-20 04:17:15+00:00,"Para kepala desa diminta berhati-hati mengusulkan perubahan masa jabatan dari semula enam tahun menjadi sembilan tahun. Jika urgensi latar belakang tidak kuat, revisi dikhawatirkan merugikan mereka

https://t.co/7PgilDr40u",Para kepala desa diminta berhati hati mengusulkan perubahan masa jabatan dari semula enam tahun menjadi sembilan tahun Jika urgensi latar belakang tidak kuat revisi dikhawatirkan merugikan mereka,para kepala desa diminta berhati hati mengusulkan perubahan masa jabatan dari semula enam tahun menjadi sembilan tahun jika urgensi latar belakang tidak kuat revisi dikhawatirkan merugikan mereka,para kepala desa diminta berhati hati mengusulkan perubahan masa jabatan dari semula enam tahun menjadi sembilan tahun jika urgensi latar belakang tidak kuat revisi dikhawatirkan merugikan mereka,"['para', 'kepala', 'desa', 'diminta', 'berhati', 'hati', 'mengusulkan', 'perubahan', 'masa', 'jabatan', 'dari', 'semula', 'enam', 'tahun', 'menjadi', 'sembilan', 'tahun', 'jika', 'urgensi', 'latar', 'belakang', 'tidak', 'kuat', 'revisi', 'dikhawatirkan', 'merugikan', 'mereka']","['kepala', 'desa', 'berhati', 'hati', 'mengusulkan', 'perubahan', 'jabatan', 'enam', 'sembilan', 'urgensi', 'latar', 'kuat', 'revisi', 'dikhawatirkan', 'merugikan']","['kepala', 'desa', 'hati', 'hati', 'usul', 'ubah', 'jabat', 'enam', 'sembilan', 'urgensi', 'latar', 'kuat', 'revisi', 'khawatir', 'rugi']","['head', 'village', 'heart', 'heart', 'suggestion', 'change', 'position', 'six', 'nine', 'urgency', 'background', 'strong', ' revision', 'worry', 'loss']",0.8176,Positif
